"Month","csgo_avg","dota2_avg","pubg_avg","gta5_avg","rainbow6_avg","ark_avg"
"May 2018",262170.88,474325.87,876180.64,41278.73,63092.81,31404.34
"June 2018",266862.24,473900,800668.23,48927.49,66376.81,41794.49
"July 2018",273307.26,441714.35,688620.42,80395.34,68241,45060.2
"August 2018",283531.31,476101.08,619320.48,68312.15,73816.38,32497.43
"September 2018",333163.99,466470.74,542607.05,49147.67,73676.87,28288.19
"October 2018",325907.82,431173.91,469141.74,43265.97,62428.64,29337.62
"November 2018",310085.43,461073.48,418159.48,43009.38,57902.93,51906.05
"December 2018",395509.26,439367.83,473541.26,55641.33,70865.32,42992.14
"January 2019",401366.87,475747,497803.25,59851.2,79175.76,36177.7
"February 2019",371358.96,564909.67,437959.1,58124.22,72997.66,32446.72
"March 2019",390240.16,586505.85,417812.51,60229.66,69588.02,33546.95
"April 2019",351989.92,520218.98,390100.9,48502.28,61351.45,32627.89
"May 2019",364417.31,548523.18,385840.59,55410.52,59172.09,33224.1
"June 2019",389376.72,507528.44,363083.37,56717.73,78059.34,43532.02
"July 2019",393782.83,464787.61,352888.88,92617.62,77411.07,47442.55
"August 2019",415097.3,467148.29,358530.96,97648,73956.28,43146.76
"September 2019",410925.6,421971.24,311444.31,66131.62,77922.76,34210.82
"October 2019",408995.31,388355.86,287133.41,58656.08,65632.48,31256.23
"November 2019",426080.81,401931.8,305659.39,68842.93,66499.28,36183.73
"December 2019",456701.56,384179.76,308445.45,97777.69,78228.73,40473.32
"January 2020",501196,378925.43,275363.04,111300.2,94185.78,45655.85
"February 2020",543979.15,405978.65,257584.32,142724.48,97667.34,53394.18
"March 2020",671033.29,437147.36,228467.17,116386.37,119877.88,87738.7
"April 2020",857604.22,493300.27,242847.28,126086.73,108514.57,82091.26
